ID,CODE,VALUE
321,"LVha","Haplic Luvisol"
322,"LVkk","Akroskeletic Luvisol"
323,"LVkkcc","Calcic Akroskeletic Luvisol"
324,"LVle","Leptic Luvisol"
325,"LVleab","Albic Leptic Luvisol"
326,"LVlecc","Calcic Leptic Luvisol"
327,"LVlecr","Chromic Leptic luvisol"
328,"LVlecrkk","Akroskeletic Chromic Leptic Luvisol"
329,"LVlecrsk","Skeletic Chromic Leptic Luvisol"
330,"LVlefr","Ferric Leptic Luvisol"
331,"LVlefrsk","Skeletic Ferric Leptic Luvisol"
332,"LVlekk","Akroskeletic Leptic Luvisol"
333,"Lvlesk","Skeletic Leptic Luvisol"
334,"LVlevr","Vertic Leptic Luvisol"
335,"LVsk","Skeletic Luvisol"
336,"LVskcc","Calcic Skeletic Luvisol"
337,"LVskkk","Akroskeletic Skeletic Luvisol"
338,"LVvr","Vertic Luvisol"
339,"LX","Lixisol"
340,"LXab","Albic Lixisol"
341,"LXfr","Ferric Lixisol"
342,"LXfrkk","Akroskeletic Ferric Luvisol"
343,"LXfrsk","Skeletic Ferric Lixisol"
344,"LXgl","Gleyic Lixisol"
345,"LXha","Haplic Lixisol"
346,"LXkk","Akroskeletic Lixisol"
347,"LXle","Leptic Lixisol"
348,"LXlefr","Ferric Leptic Lixisol"
349,"LXsk","Skeletic Lixisol"
350,"NT","Nitisol"
351,"NTha","Haplic Nitisol"
352,"NThu","Humic Nitisol"
353,"NThukk","Akroskeletic Humic Nitisol"
354,"NThusk","Skeletic Humic Nitisol"
355,"NTkk","Akroskeletic Nitisol"
356,"NTle","Leptic Nitisol"
357,"NTlehu","Humic Leptic Nitisol"
358,"NTlero","Rhodic Leptic Nitisol"
359,"NTro","Rhodic Nitisol"
360,"NTrokk","Akroskeletic Rhodic Nitisol"
361,"PH","Phaeozem"
362,"PHca","Calcaric Phaeozem"
363,"PHgl","Gleyic Phaeozem"
364,"PHgr","Greyzemic Phaeozem"
365,"PHgrgl","Gleyic Greyzemic Phaeozem"
366,"PHgzkk","Akroskeletic Greyzemic Phaeozem"
367,"PHha","Haplic Phaeozem"
368,"PHkk","Akroskeletic Phaeozem"
369,"PHle","Leptic Phaeozem"
370,"PHleca","Calcaric Leptic Phaeozem"
371,"PHlekk","Akroskeletic Leptic Phaeozem"
372,"PHlelv","Luvic Leptic Phaeozem"
373,"PHlv","Luvic Phaeozem"
374,"PHlvkk","Akroskeletic Luvic Phaeozem"
375,"PHlvskkk","Akroskeletic Skeletic Luvic Phaeozem"
376,"PL","Planosol"
377,"PLdy","Dystric Planosol"
378,"PLeu","Eutric Planosol"
379,"PLfgdy","Dystric Fragic Planosol"
380,"PLfgeu","Eutric Fragic Planosol"
381,"PLkkdy","Dystric Akroskeletic Planosol"
382,"PLkkeu","Eutric Akroskeletic Planosol"
383,"PLmo","Mollic Planosol"
384,"PLskdy","Dystric Skeletic Planosol"
385,"PLskeu","Eutric Skeletic Planosol"
386,"PLum","Umbric Planosol"
387,"PT","Plinthosol"
388,"PTab","Albic Plinthosol"
389,"PTabkk","Akroskeletic Albic Plinthosol"
390,"PTac","Acric Plinthosol"
391,"PTal","Alic Plinthosol"
392,"PTdy","Dystric Plinthosol"
393,"PTeu","Eutric Plinthosol"
394,"PTfl","Ferralic Plinthosol"
395,"PTflsk","Skeletic Ferralic Plinthosol"
396,"PTgr","Geric Plinthosol"
397,"PTha","Haplic Plinthosol"
398,"PTir","Irragric Plinthosol"
399,"PTkk","Akroskeletic Plinthosol"
400,"PTkkeu","Eutric Akroskeletic Plinthosol"
401,"PTli","Lithic Plinthosol"
402,"PTlx","Lixic Plinthosol"
403,"PTni","Nitic Plinthosol"
404,"PTro","Rhodic Plinthosl"
405,"PTsk","Skeletic Plinthosol"
406,"PTskdy","Dystric Skeletic Plinthosol"
407,"PTskeu","Eutric Skeletic Plinthosol"
408,"PTum","Umbric Plinthosol"
409,"PTumkk","Skeletic Umbric Plinthosol"
410,"PZ","Podzol"
411,"PZal","Albic Podzol"
412,"PZalfg","Gleyic Albic Podzol"
413,"PZalkk","Akroskeletic Albic Podzol"
414,"PZalle","Leptic Albic Podzol"
415,"PZallekk","Akroskeletic Leptic Albic Podzol"
416,"PZallesk","Skeletic Leptic Albic Podzol"
417,"PZalsk","Skeletic Albic Podzol"
418,"PZalskkk","Akroskeletic Skeletic Albic Podzol"
419,"PZcb","Carbic Podzol"
